CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,AU,143.46.91.254,1.41.151.71,7547,13331
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,59787
Traffic Log,AU,144.107.218.178,1.43.23.233,7547,43689
Traffic Log,AU,141.190.122.120,1.43.23.233,7547,43689
Traffic Log,AU,141.190.128.254,1.41.151.71,7547,13331
Traffic Log,KR,150.137.33.148,1.11.132.46,58915,57107
Traffic Log,AU,143.213.57.28,1.41.151.71,7547,13331
Traffic Log,AU,143.214.248.83,1.43.23.233,7547,39723
Traffic Log,AU,150.137.215.119,1.43.23.233,7547,43689
Traffic Log,AU,155.5.211.197,1.41.45.240,55990,48081
Traffic Log,AU,150.137.63.192,1.43.23.233,7547,43689
Traffic Log,MY,141.190.141.65,1.9.24.193,2239,53
Traffic Log,KR,141.190.60.142,1.11.72.68,35902,41344
Traffic Log,AU,143.46.125.249,1.43.23.233,7547,49002
Traffic Log,HK,155.5.146.167,1.36.43.83,10419,53
Traffic Log,IN,155.6.88.249,1.22.196.107,61189,53
Traffic Log,AU,150.137.190.146,1.120.96.123,7547,25111
Traffic Log,MY,143.46.119.89,1.9.39.42,62901,53
Traffic Log,MY,143.46.211.202,1.9.126.54,21032,53
Traffic Log,AU,143.213.30.63,1.43.23.233,7547,43689
Traffic Log,AU,155.5.195.196,1.43.23.233,7547,3897
Traffic Log,AU,143.214.186.50,1.41.151.71,7547,13331
Traffic Log,JP,155.6.211.199,1.0.98.109,7414,1571
Traffic Log,AU,150.137.111.184,1.120.96.123,7547,25111
Traffic Log,IN,155.5.200.8,1.22.214.30,24084,53
Traffic Log,AU,141.190.31.164,1.41.151.71,7547,13331
Traffic Log,MY,143.213.43.58,1.9.69.225,43748,53
Traffic Log,MY,141.190.54.103,1.9.24.193,45539,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,60977
Traffic Log,AU,150.133.202.249,1.43.23.233,7547,24938
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,63312
Traffic Log,AU,143.213.130.97,1.43.23.233,7547,43689
Traffic Log,MY,143.45.227.28,1.9.44.249,24952,53
Traffic Log,AU,150.149.22.133,1.41.151.71,7547,13331
Traffic Log,MY,150.133.154.223,1.9.51.169,10219,53
Traffic Log,MY,143.214.175.235,1.9.69.225,12185,53
Traffic Log,AU,143.212.209.5,1.41.151.71,7547,13331
Traffic Log,MY,143.45.47.246,1.9.39.42,44624,53
Traffic Log,JP,143.46.91.169,1.21.11.185,55813,53
Traffic Log,AU,155.6.0.104,1.41.151.71,7547,13331
Traffic Log,AU,143.214.249.154,1.43.23.233,7547,45399
Traffic Log,AU,155.6.121.93,1.41.151.71,7547,13331
Traffic Log,MY,150.137.136.132,1.9.69.225,5528,53
Traffic Log,MY,150.133.176.67,1.9.126.54,15695,53
Traffic Log,AU,150.133.198.33,1.43.23.233,7547,43689
Traffic Log,VN,143.214.199.80,1.55.243.84,18174,53
Traffic Log,MY,143.213.211.27,1.9.126.51,21191,53
Traffic Log,MY,155.6.71.190,1.9.129.35,56778,53
Traffic Log,AU,141.190.195.36,1.120.96.193,7547,35622
Traffic Log,AU,143.214.36.84,1.41.151.71,7547,13331
Traffic Log,AU,155.5.6.188,1.40.252.211,46552,8999
Traffic Log,HK,143.212.24.166,1.36.43.83,38990,53
Traffic Log,AU,143.45.210.185,1.43.23.233,7547,43689
Traffic Log,AU,143.45.119.59,1.43.23.233,7547,37126
Traffic Log,KR,155.6.211.183,1.11.246.4,55982,12350
Traffic Log,MY,143.214.30.132,1.9.44.249,40496,53
Traffic Log,AU,150.133.86.174,1.41.151.71,7547,13331
Traffic Log,KR,143.212.229.67,1.11.54.122,24595,56698
Traffic Log,AU,155.6.25.138,1.120.96.156,7547,15174
Traffic Log,KR,155.6.211.199,1.11.8.25,55990,55923
Traffic Log,AU,143.214.61.181,1.43.23.233,7547,43689
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,64372
Traffic Log,AU,150.137.83.74,1.120.96.193,7547,35622
Traffic Log,AU,150.133.206.218,1.40.252.211,35262,8999
Traffic Log,AU,143.45.79.22,1.40.252.211,24305,8999
Traffic Log,AU,143.213.108.32,1.43.23.233,7547,43689
Traffic Log,KR,155.5.212.53,1.11.53.158,55982,2580
Traffic Log,AU,143.214.179.43,1.43.23.233,7547,43689
Traffic Log,AU,155.6.212.71,1.41.130.245,55990,61392
Traffic Log,AU,150.137.36.219,1.120.96.193,7547,35622
Traffic Log,AU,150.137.228.136,1.120.96.193,7547,35622
Traffic Log,AU,143.213.242.168,1.41.151.71,7547,13331
Traffic Log,AU,141.190.43.249,1.43.23.233,7547,43689
Traffic Log,AU,143.212.50.42,1.43.23.233,7547,43689
Traffic Log,AU,155.6.132.233,1.41.151.71,7547,13331
Traffic Log,AU,143.214.132.82,1.43.23.233,7547,43689
Traffic Log,KR,143.212.46.119,1.11.98.82,53940,56822
Traffic Log,AU,150.137.192.143,1.120.96.146,7547,5793
Traffic Log,AU,141.190.138.133,1.120.96.193,7547,35622
Traffic Log,AU,155.6.66.55,1.42.90.46,20111,62348
Traffic Log,AU,155.5.31.149,1.43.23.233,7547,43689
Traffic Log,AU,143.213.145.111,1.43.23.233,7547,43689
Traffic Log,KR,150.137.6.88,1.11.54.122,44447,56698
Traffic Log,KR,143.45.117.196,1.11.54.122,15538,56698
Traffic Log,AU,155.5.151.186,1.41.151.71,7547,13331
Traffic Log,AU,143.214.38.83,1.120.96.193,7547,35622
Traffic Log,AU,141.190.152.52,1.43.23.233,7547,43689
Traffic Log,AU,143.212.196.22,1.43.23.233,7547,43689
Traffic Log,KR,150.137.180.171,1.11.150.92,12527,51413
Traffic Log,AU,155.5.211.197,1.40.91.85,55990,50032
Traffic Log,AU,143.214.54.194,1.43.23.233,7547,43689
Traffic Log,AU,143.214.23.250,1.43.23.233,7547,43689
Traffic Log,AU,143.46.122.160,1.43.23.233,7547,16390
Traffic Log,AU,150.133.23.156,1.41.151.71,7547,13331
Traffic Log,AU,141.190.155.147,1.41.151.71,7547,13331
Traffic Log,AU,150.137.179.60,1.43.145.218,50321,53530
Traffic Log,KR,143.46.73.35,1.11.54.122,4993,56698
Traffic Log,AU,143.213.175.230,1.120.96.156,7547,15174
Traffic Log,AU,150.149.2.252,1.41.151.71,7547,13331
Traffic Log,AU,143.46.252.184,1.41.151.71,7547,13331
Traffic Log,AU,143.213.113.0,1.43.23.233,7547,43689
Traffic Log,AU,150.133.52.66,1.43.23.233,7547,43689
Traffic Log,KR,143.46.10.253,1.11.63.153,34284,15922
Traffic Log,KR,155.5.211.181,1.11.195.24,55982,55114
Traffic Log,AU,150.137.172.152,1.43.23.233,7547,43689
Traffic Log,AU,150.133.127.170,1.43.23.233,7547,43689
Traffic Log,AU,143.46.252.66,1.41.151.71,7547,13331
Traffic Log,AU,143.45.117.134,1.43.23.233,7547,43689
Traffic Log,KR,143.214.202.181,1.11.54.122,48708,56698
Traffic Log,AU,143.212.134.166,1.41.151.71,7547,13331
Traffic Log,KR,150.133.113.229,1.11.228.118,28650,10714
Traffic Log,AU,143.212.173.248,1.43.23.233,7547,43689
Traffic Log,KR,143.212.59.70,1.11.235.129,55367,36887
Traffic Log,AU,143.46.239.234,1.43.23.233,7547,43689
Traffic Log,AU,143.45.154.19,1.120.96.193,7547,35622
